category,question,trusted_answer,search_text
Cardiology,What is high blood pressure and why is it dangerous?,"High blood pressure means the force of blood against artery walls is consistently too high. Over time, it can increase the risk of heart disease, stroke, kidney disease, and other health problems. Lifestyle changes and medications may help, but patients should follow advice from a healthcare professional.","Cardiology What is high blood pressure and why is it dangerous? High blood pressure means the force of blood against artery walls is consistently too high. Over time, it can increase the risk of heart disease, stroke, kidney disease, and other health problems. Lifestyle changes and medications may help, but patients should follow advice from a healthcare professional."
Cardiology,What are common symptoms of a heart attack?,"Possible heart attack symptoms include chest pain or pressure, shortness of breath, sweating, nausea, pain in the arm, jaw, neck, or back, and unusual fatigue. These symptoms can be an emergency and need urgent care.","Cardiology What are common symptoms of a heart attack? Possible heart attack symptoms include chest pain or pressure, shortness of breath, sweating, nausea, pain in the arm, jaw, neck, or back, and unusual fatigue. These symptoms can be an emergency and need urgent care."
Diabetes,What are early signs of diabetes?,"Early signs of diabetes may include increased thirst, frequent urination, fatigue, blurry vision, slow-healing wounds, and unexplained weight changes. A blood test is needed to confirm diabetes.","Diabetes What are early signs of diabetes? Early signs of diabetes may include increased thirst, frequent urination, fatigue, blurry vision, slow-healing wounds, and unexplained weight changes. A blood test is needed to confirm diabetes."
Diabetes,What is HbA1c?,HbA1c is a blood test that shows average blood sugar levels over about the past 2 to 3 months. It is often used to monitor diabetes control.,Diabetes What is HbA1c? HbA1c is a blood test that shows average blood sugar levels over about the past 2 to 3 months. It is often used to monitor diabetes control.
Nutrition,How can I lower cholesterol naturally?,"Healthy steps may include eating more fiber-rich foods, choosing unsaturated fats, reducing trans fats, exercising regularly, avoiding smoking, and maintaining a healthy weight. Some people still need medication.","Nutrition How can I lower cholesterol naturally? Healthy steps may include eating more fiber-rich foods, choosing unsaturated fats, reducing trans fats, exercising regularly, avoiding smoking, and maintaining a healthy weight. Some people still need medication."
Nutrition,What foods are good for heart health?,"Heart-healthy foods include vegetables, fruits, whole grains, beans, nuts, seeds, fish, and healthy oils. Limiting highly processed foods, excess salt, and sugary drinks can also help.","Nutrition What foods are good for heart health? Heart-healthy foods include vegetables, fruits, whole grains, beans, nuts, seeds, fish, and healthy oils. Limiting highly processed foods, excess salt, and sugary drinks can also help."
Mental Health,What are common signs of anxiety?,"Common signs of anxiety can include excessive worry, restlessness, trouble sleeping, fast heartbeat, muscle tension, and difficulty concentrating. Persistent or severe symptoms should be discussed with a healthcare professional.","Mental Health What are common signs of anxiety? Common signs of anxiety can include excessive worry, restlessness, trouble sleeping, fast heartbeat, muscle tension, and difficulty concentrating. Persistent or severe symptoms should be discussed with a healthcare professional."
Mental Health,How can I manage stress?,"Stress management may include regular physical activity, sleep routines, relaxation breathing, talking with supportive people, time management, and seeking professional help when stress becomes overwhelming.","Mental Health How can I manage stress? Stress management may include regular physical activity, sleep routines, relaxation breathing, talking with supportive people, time management, and seeking professional help when stress becomes overwhelming."
General Wellness,How can I improve my sleep quality?,"Good sleep habits include keeping a regular sleep schedule, reducing screen time before bed, limiting caffeine late in the day, creating a dark and quiet sleep environment, and relaxing before bedtime.","General Wellness How can I improve my sleep quality? Good sleep habits include keeping a regular sleep schedule, reducing screen time before bed, limiting caffeine late in the day, creating a dark and quiet sleep environment, and relaxing before bedtime."
General Wellness,How much exercise should adults get?,"Many adults benefit from regular aerobic activity and muscle-strengthening exercises. The right amount depends on health status, age, and fitness level. People with medical conditions should ask a healthcare professional before starting a new plan.","General Wellness How much exercise should adults get? Many adults benefit from regular aerobic activity and muscle-strengthening exercises. The right amount depends on health status, age, and fitness level. People with medical conditions should ask a healthcare professional before starting a new plan."
Respiratory Health,What are symptoms of pneumonia?,"Pneumonia symptoms may include cough, fever, chills, chest discomfort, shortness of breath, fatigue, and sometimes confusion in older adults. Severe symptoms require urgent medical evaluation.","Respiratory Health What are symptoms of pneumonia? Pneumonia symptoms may include cough, fever, chills, chest discomfort, shortness of breath, fatigue, and sometimes confusion in older adults. Severe symptoms require urgent medical evaluation."
Respiratory Health,What is asthma?,"Asthma is a long-term condition where airways can become inflamed and narrowed, causing wheezing, coughing, chest tightness, and shortness of breath. Treatment plans should be guided by a healthcare professional.","Respiratory Health What is asthma? Asthma is a long-term condition where airways can become inflamed and narrowed, causing wheezing, coughing, chest tightness, and shortness of breath. Treatment plans should be guided by a healthcare professional."
Medication Safety,Why is it important to tell doctors about all my medications?,"Doctors and pharmacists need to know all medications, supplements, and allergies to reduce the risk of drug interactions, duplicate therapy, side effects, and unsafe medication choices.","Medication Safety Why is it important to tell doctors about all my medications? Doctors and pharmacists need to know all medications, supplements, and allergies to reduce the risk of drug interactions, duplicate therapy, side effects, and unsafe medication choices."
Medication Safety,What should I do if I miss a medication dose?,What to do after a missed dose depends on the medication. Patients should check the medication instructions or contact a pharmacist or clinician. They should not double doses unless specifically instructed.,Medication Safety What should I do if I miss a medication dose? What to do after a missed dose depends on the medication. Patients should check the medication instructions or contact a pharmacist or clinician. They should not double doses unless specifically instructed.
Emergency,When should I seek emergency medical care?,"Emergency care may be needed for symptoms such as severe chest pain, trouble breathing, signs of stroke, severe bleeding, loss of consciousness, severe allergic reaction, overdose, or thoughts of self-harm.","Emergency When should I seek emergency medical care? Emergency care may be needed for symptoms such as severe chest pain, trouble breathing, signs of stroke, severe bleeding, loss of consciousness, severe allergic reaction, overdose, or thoughts of self-harm."
